sex,length_standardized,length_mm,diameter_standardized,diameter_mm,height_standardized,height_mm,whole_weight_standardized,whole_weight_g,no_rings,age_years
I,0.45,90,0.35,35,0.125,25,0.4775,95.5,6,7.5
I,0.45,90,0.35,35,0.12,24,0.468,93.6,8,9.5
F,0.455,91,0.35,35,0.12,24,0.4555,91.1,7,8.5
F,0.46,92,0.35,35,0.115,23,0.46,92,6,7.5
I,0.46,92,0.345,34.5,0.12,24,0.4155,83.1,7,8.5
I,0.46,92,0.345,34.5,0.115,23,0.4215,84.3,6,7.5
I,0.465,93,0.355,35.5,0.11,22,0.474,94.8,7,8.5
M,0.465,93,0.34,34,0.105,21,0.486,97.2,9,10.5
I,0.475,95,0.385,38.5,0.11,22,0.5735,114.7,7,8.5
I,0.475,95,0.355,35.5,0.105,21,0.468,93.6,8,9.5
M,0.48,96,0.37,37,0.1,20,0.5135,102.7,8,9.5
M,0.5,100,0.375,37.5,0.145,29,0.6215,124.3,7,8.5
I,0.5,100,0.38,38,0.11,22,0.494,98.8,7,8.5
I,0.505,101,0.385,38.5,0.12,24,0.6005,120.1,7,8.5
M,0.515,103,0.395,39.5,0.12,24,0.646,129.2,9,10.5
M,0.525,105,0.415,41.5,0.135,27,0.7945,158.9,7,8.5
M,0.525,105,0.425,42.5,0.125,25,0.812,162.4,8,9.5
F,0.53,106,0.42,42,0.17,34,0.828,165.6,6,7.5
M,0.53,106,0.41,41,0.14,28,0.681,136.2,6,7.5
F,0.53,106,0.405,40.5,0.15,30,0.889,177.8,8,9.5
M,0.54,108,0.435,43.5,0.14,28,0.7345,146.9,9,10.5
F,0.55,110,0.425,42.5,0.125,25,0.964,192.8,8,9.5
F,0.555,111,0.425,42.5,0.14,28,0.963,192.6,7,8.5
F,0.57,114,0.445,44.5,0.15,30,0.995,199,9,10.5
F,0.57,114,0.435,43.5,0.14,28,0.8585,171.7,8,9.5
M,0.575,115,0.45,45,0.155,31,0.948,189.6,7,8.5
F,0.58,116,0.445,44.5,0.145,29,0.888,177.6,8,9.5
F,0.585,117,0.45,45,0.16,32,0.9045,180.9,8,9.5
M,0.59,118,0.465,46.5,0.14,28,1.046,209.2,7,8.5
F,0.595,119,0.47,47,0.155,31,1.1775,235.5,9,10.5
F,0.595,119,0.465,46.5,0.15,30,1.0765,215.3,9,10.5
F,0.595,119,0.465,46.5,0.15,30,1.0255,205.1,11,12.5
F,0.6,120,0.46,46,0.145,29,0.9325,186.5,8,9.5
F,0.6,120,0.46,46,0.15,30,1.235,247,8,9.5
M,0.6,120,0.46,46,0.15,30,1.247,249.4,9,10.5
M,0.61,122,0.48,48,0.15,30,1.1495,229.9,8,9.5
F,0.615,123,0.485,48.5,0.16,32,1.1575,231.5,10,11.5
F,0.615,123,0.5,50,0.165,33,1.327,265.4,10,11.5
M,0.615,123,0.47,47,0.155,31,1.2,240,8,9.5
F,0.62,124,0.51,51,0.175,35,1.2705,254.1,9,10.5
F,0.62,124,0.485,48.5,0.175,35,1.2155,243.1,10,11.5
F,0.62,124,0.475,47.5,0.16,32,1.3245,264.9,9,10.5
M,0.625,125,0.48,48,0.17,34,1.3555,271.1,10,11.5
F,0.625,125,0.49,49,0.165,33,1.127,225.4,9,10.5
F,0.625,125,0.49,49,0.175,35,1.1075,221.5,8,9.5
F,0.63,126,0.495,49.5,0.2,40,1.4255,285.1,11,12.5
F,0.63,126,0.495,49.5,0.145,29,1.147,229.4,9,10.5
M,0.63,126,0.48,48,0.165,33,1.286,257.2,8,9.5
F,0.635,127,0.495,49.5,0.18,36,1.596,319.2,11,12.5
F,0.635,127,0.495,49.5,0.195,39,1.297,259.4,11,12.5
M,0.645,129,0.49,49,0.16,32,1.251,250.2,9,10.5
M,0.645,129,0.5,50,0.175,35,1.5105,302.1,12,13.5
F,0.65,130,0.5,50,0.185,37,1.4415,288.3,9,10.5
M,0.67,134,0.52,52,0.19,38,1.6385,327.7,9,10.5
F,0.69,138,0.545,54.5,0.205,41,1.933,386.6,13,14.5
M,0.69,138,0.54,54,0.185,37,1.71,342,8,9.5
F,0.695,139,0.55,55,0.155,31,1.8495,369.9,10,11.5
M,0.695,139,0.525,52.5,0.175,35,1.742,348.4,12,13.5
F,0.7,140,0.575,57.5,0.205,41,1.7975,359.5,13,14.5
F,0.705,141,0.56,56,0.205,41,2.381,476.2,10,11.5
M,0.765,153,0.585,58.5,0.18,36,2.398,479.6,12,13.5
M,0.77,154,0.6,60,0.215,43,2.1945,438.9,10,11.5
I,0.22,44,0.16,16,0.05,10,0.049,9.8,4,5.5
I,0.275,55,0.205,20.5,0.07,14,0.1055,21.1,5,6.5
I,0.29,58,0.21,21,0.06,12,0.1045,20.9,5,6.5
I,0.33,66,0.24,24,0.075,15,0.163,32.6,6,7.5
I,0.355,71,0.285,28.5,0.095,19,0.2275,45.5,6,7.5
I,0.375,75,0.29,29,0.1,20,0.219,43.8,6,7.5
I,0.415,83,0.315,31.5,0.1,20,0.3645,72.9,8,9.5
I,0.425,85,0.33,33,0.115,23,0.3265,65.3,6,7.5
I,0.425,85,0.34,34,0.1,20,0.3515,70.3,7,8.5
I,0.43,86,0.32,32,0.1,20,0.3465,69.3,7,8.5
I,0.44,88,0.34,34,0.1,20,0.407,81.4,7,8.5
I,0.44,88,0.335,33.5,0.115,23,0.4215,84.3,7,8.5
I,0.46,92,0.345,34.5,0.11,22,0.3755,75.1,7,8.5
I,0.46,92,0.37,37,0.12,24,0.5335,106.7,6,7.5
I,0.465,93,0.355,35.5,0.105,21,0.442,88.4,7,8.5
I,0.475,95,0.365,36.5,0.1,20,0.1315,26.3,7,8.5
I,0.475,95,0.375,37.5,0.115,23,0.5205,104.1,7,8.5
I,0.485,97,0.375,37.5,0.13,26,0.5535,110.7,8,9.5
I,0.49,98,0.375,37.5,0.125,25,0.5445,108.9,8,9.5
M,0.49,98,0.38,38,0.11,22,0.554,110.8,8,9.5
I,0.495,99,0.38,38,0.12,24,0.512,102.4,7,8.5
I,0.5,100,0.39,39,0.125,25,0.583,116.6,8,9.5
M,0.5,100,0.38,38,0.12,24,0.5765,115.3,9,10.5
M,0.505,101,0.4,40,0.135,27,0.723,144.6,7,8.5
I,0.51,102,0.395,39.5,0.155,31,0.5395,107.9,8,9.5
I,0.51,102,0.385,38.5,0.15,30,0.625,125,8,9.5
I,0.515,103,0.4,40,0.125,25,0.5925,118.5,9,10.5
I,0.52,104,0.395,39.5,0.135,27,0.633,126.6,9,10.5
F,0.545,109,0.43,43,0.14,28,0.832,166.4,9,10.5
M,0.545,109,0.42,42,0.145,29,0.778,155.6,7,8.5
M,0.545,109,0.42,42,0.12,24,0.7865,157.3,7,8.5
F,0.545,109,0.4,40,0.14,28,0.778,155.6,9,10.5
I,0.55,110,0.42,42,0.13,26,0.636,127.2,8,9.5
F,0.55,110,0.44,44,0.135,27,0.8435,168.7,8,9.5
I,0.555,111,0.425,42.5,0.13,26,0.648,129.6,8,9.5
M,0.565,113,0.43,43,0.13,26,0.784,156.8,9,10.5
F,0.57,114,0.45,45,0.18,36,0.908,181.6,9,10.5
M,0.57,114,0.45,45,0.135,27,1.02,204,9,10.5
F,0.57,114,0.43,43,0.16,32,0.811,162.2,9,10.5
F,0.575,115,0.48,48,0.15,30,0.897,179.4,8,9.5
M,0.58,116,0.455,45.5,0.13,26,0.852,170.4,8,9.5
F,0.585,117,0.45,45,0.15,30,0.938,187.6,7,8.5
F,0.585,117,0.435,43.5,0.14,28,0.6955,139.1,8,9.5
M,0.59,118,0.47,47,0.15,30,0.861,172.2,8,9.5
M,0.59,118,0.46,46,0.14,28,1.004,200.8,9,10.5
F,0.59,118,0.46,46,0.16,32,1.0115,202.3,8,9.5
F,0.595,119,0.465,46.5,0.15,30,1.1005,220.1,8,9.5
M,0.595,119,0.47,47,0.165,33,1.108,221.6,9,10.5
M,0.595,119,0.46,46,0.14,28,0.852,170.4,9,10.5
M,0.6,120,0.49,49,0.21,42,1.9875,397.5,10,11.5
F,0.605,121,0.48,48,0.15,30,1.079,215.8,10,11.5
F,0.615,123,0.475,47.5,0.17,34,1.055,211,9,10.5
M,0.615,123,0.45,45,0.15,30,1.198,239.6,7,8.5
F,0.615,123,0.47,47,0.155,31,1.084,216.8,9,10.5
M,0.615,123,0.475,47.5,0.175,35,1.103,220.6,10,11.5
M,0.62,124,0.49,49,0.155,31,1.1,220,9,10.5
M,0.62,124,0.48,48,0.15,30,1.1015,220.3,10,11.5
M,0.625,125,0.495,49.5,0.185,37,1.3835,276.7,11,12.5
F,0.625,125,0.49,49,0.155,31,1.115,223,9,10.5
M,0.625,125,0.48,48,0.145,29,1.085,217,10,11.5
M,0.63,126,0.505,50.5,0.15,30,1.3165,263.3,11,12.5
M,0.63,126,0.51,51,0.175,35,1.3415,268.3,10,11.5
M,0.63,126,0.465,46.5,0.15,30,1.027,205.4,8,9.5
M,0.645,129,0.515,51.5,0.16,32,1.1845,236.9,9,10.5
M,0.645,129,0.48,48,0.15,30,1.192,238.4,9,10.5
F,0.645,129,0.52,52,0.18,36,1.285,257,9,10.5
M,0.65,130,0.515,51.5,0.125,25,1.1805,236.1,9,10.5
M,0.65,130,0.52,52,0.175,35,1.2655,253.1,9,10.5
F,0.65,130,0.535,53.5,0.175,35,1.2895,257.9,10,11.5
M,0.65,130,0.51,51,0.155,31,1.407,281.4,9,10.5
F,0.65,130,0.49,49,0.155,31,1.122,224.4,9,10.5
M,0.66,132,0.515,51.5,0.165,33,1.4465,289.3,10,11.5
F,0.665,133,0.505,50.5,0.165,33,1.349,269.8,9,10.5
M,0.67,134,0.5,50,0.2,40,1.269,253.8,11,12.5
M,0.67,134,0.51,51,0.18,36,1.68,336,13,14.5
F,0.675,135,0.55,55,0.19,38,1.551,310.2,13,14.5
M,0.68,136,0.52,52,0.165,33,1.4775,295.5,11,12.5
M,0.68,136,0.53,53,0.18,36,1.529,305.8,11,12.5
M,0.7,140,0.525,52.5,0.175,35,1.7585,351.7,10,11.5
M,0.7,140,0.55,55,0.2,40,1.523,304.6,13,14.5
F,0.725,145,0.53,53,0.19,38,1.7315,346.3,11,12.5
M,0.725,145,0.55,55,0.2,40,1.51,302,9,10.5
M,0.735,147,0.57,57,0.175,35,1.88,376,11,12.5
F,0.74,148,0.575,57.5,0.22,44,2.012,402.4,12,13.5
M,0.75,150,0.555,55.5,0.215,43,2.201,440.2,11,12.5
I,0.19,38,0.14,14,0.03,6,0.0315,6.3,3,4.5
I,0.21,42,0.15,15,0.045,9,0.04,8,4,5.5
I,0.25,50,0.175,17.5,0.06,12,0.0635,12.7,4,5.5
I,0.29,58,0.215,21.5,0.065,13,0.0985,19.7,5,6.5
I,0.335,67,0.25,25,0.08,16,0.167,33.4,6,7.5
I,0.34,68,0.245,24.5,0.085,17,0.2015,40.3,6,7.5
I,0.345,69,0.255,25.5,0.095,19,0.183,36.6,6,7.5
I,0.355,71,0.255,25.5,0.08,16,0.187,37.4,7,8.5
I,0.36,72,0.26,26,0.08,16,0.1795,35.9,5,6.5
I,0.37,74,0.275,27.5,0.09,18,0.2065,41.3,7,8.5
I,0.375,75,0.29,29,0.14,28,0.3,60,8,9.5
I,0.375,75,0.275,27.5,0.095,19,0.2295,45.9,7,8.5
I,0.385,77,0.3,30,0.125,25,0.343,68.6,7,8.5
I,0.385,77,0.285,28.5,0.085,17,0.244,48.8,8,9.5
I,0.395,79,0.32,32,0.1,20,0.3075,61.5,8,9.5
I,0.4,80,0.305,30.5,0.1,20,0.3415,68.3,7,8.5
I,0.405,81,0.305,30.5,0.1,20,0.271,54.2,7,8.5
I,0.405,81,0.31,31,0.11,22,0.91,182,8,9.5
I,0.405,81,0.305,30.5,0.1,20,0.268,53.6,7,8.5
I,0.405,81,0.3,30,0.09,18,0.2885,57.7,6,7.5
I,0.41,82,0.315,31.5,0.1,20,0.3,60,8,9.5
I,0.41,82,0.325,32.5,0.11,22,0.326,65.2,8,9.5
I,0.415,83,0.335,33.5,0.1,20,0.358,71.6,7,8.5
I,0.42,84,0.325,32.5,0.115,23,0.314,62.8,8,9.5
I,0.42,84,0.315,31.5,0.11,22,0.4025,80.5,8,9.5
I,0.43,86,0.34,34,0.11,22,0.3645,72.9,7,8.5
I,0.445,89,0.36,36,0.11,22,0.4235,84.7,9,10.5
M,0.45,90,0.325,32.5,0.115,23,0.4305,86.1,8,9.5
I,0.45,90,0.335,33.5,0.095,19,0.3505,70.1,7,8.5
I,0.455,91,0.34,34,0.115,23,0.486,97.2,8,9.5
I,0.46,92,0.35,35,0.1,20,0.471,94.2,8,9.5
I,0.46,92,0.345,34.5,0.105,21,0.415,83,8,9.5
I,0.475,95,0.355,35.5,0.115,23,0.5195,103.9,7,8.5
M,0.48,96,0.375,37.5,0.12,24,0.5895,117.9,11,12.5
I,0.485,97,0.38,38,0.125,25,0.5215,104.3,8,9.5
I,0.485,97,0.365,36.5,0.14,28,0.4475,89.5,8,9.5
I,0.49,98,0.365,36.5,0.125,25,0.5585,111.7,10,11.5
I,0.505,101,0.385,38.5,0.125,25,0.596,119.2,9,10.5
I,0.505,101,0.38,38,0.135,27,0.5385,107.7,9,10.5
I,0.51,102,0.385,38.5,0.145,29,0.7665,153.3,8,9.5
F,0.515,103,0.395,39.5,0.135,27,0.516,103.2,9,10.5
M,0.515,103,0.41,41,0.14,28,0.7355,147.1,7,8.5
I,0.515,103,0.39,39,0.11,22,0.531,106.2,8,9.5
I,0.525,105,0.385,38.5,0.13,26,0.607,121.4,8,9.5
F,0.525,105,0.415,41.5,0.15,30,0.7055,141.1,10,11.5
I,0.525,105,0.4,40,0.13,26,0.6445,128.9,8,9.5
I,0.525,105,0.375,37.5,0.12,24,0.6315,126.3,9,10.5
M,0.535,107,0.43,43,0.155,31,0.7845,156.9,10,11.5
F,0.545,109,0.44,44,0.15,30,0.9475,189.5,8,9.5
I,0.55,110,0.43,43,0.145,29,0.712,142.4,10,11.5
I,0.55,110,0.425,42.5,0.145,29,0.89,178,10,11.5
I,0.55,110,0.42,42,0.155,31,0.912,182.4,9,10.5
I,0.55,110,0.425,42.5,0.135,27,0.656,131.2,10,11.5
I,0.55,110,0.465,46.5,0.15,30,0.936,187.2,9,10.5
I,0.555,111,0.435,43.5,0.145,29,0.6975,139.5,11,12.5
F,0.555,111,0.445,44.5,0.175,35,1.1465,229.3,8,9.5
I,0.56,112,0.44,44,0.14,28,0.825,165,10,11.5
I,0.56,112,0.435,43.5,0.135,27,0.72,144,11,12.5
I,0.565,113,0.43,43,0.15,30,0.8215,164.3,11,12.5
F,0.57,114,0.445,44.5,0.155,31,1.017,203.4,10,11.5
F,0.575,115,0.435,43.5,0.155,31,0.8975,179.5,9,10.5
M,0.58,116,0.44,44,0.175,35,1.2255,245.1,10,11.5
F,0.58,116,0.465,46.5,0.145,29,0.9865,197.3,11,12.5
F,0.58,116,0.425,42.5,0.15,30,0.844,168.8,9,10.5
I,0.585,117,0.46,46,0.145,29,0.8465,169.3,10,11.5
M,0.585,117,0.465,46.5,0.165,33,0.885,177,10,11.5
I,0.585,117,0.42,42,0.145,29,0.6735,134.7,9,10.5
F,0.585,117,0.455,45.5,0.13,26,0.8755,175.1,8,9.5
M,0.59,118,0.47,47,0.145,29,0.9235,184.7,9,10.5
M,0.59,118,0.475,47.5,0.14,28,0.977,195.4,10,11.5
M,0.595,119,0.475,47.5,0.14,28,1.0305,206.1,10,11.5
M,0.6,120,0.48,48,0.09,18,1.05,210,8,9.5
M,0.6,120,0.495,49.5,0.185,37,1.1145,222.9,11,12.5
M,0.6,120,0.45,45,0.145,29,0.877,175.4,9,10.5
M,0.6,120,0.51,51,0.185,37,1.285,257,9,10.5
M,0.61,122,0.48,48,0.185,37,1.3065,261.3,10,11.5
F,0.61,122,0.45,45,0.13,26,0.8725,174.5,11,12.5
F,0.615,123,0.46,46,0.15,30,1.0265,205.3,10,11.5
F,0.62,124,0.465,46.5,0.14,28,1.1605,232.1,9,10.5
F,0.62,124,0.48,48,0.165,33,1.0125,202.5,10,11.5
M,0.625,125,0.5,50,0.14,28,1.096,219.2,10,11.5
M,0.625,125,0.49,49,0.165,33,1.205,241,10,11.5
M,0.63,126,0.505,50.5,0.175,35,1.221,244.2,12,13.5
F,0.63,126,0.475,47.5,0.155,31,1.0005,200.1,10,11.5
M,0.63,126,0.47,47,0.15,30,1.1355,227.1,12,13.5
M,0.63,126,0.525,52.5,0.195,39,1.3135,262.7,10,11.5
M,0.64,128,0.505,50.5,0.155,31,1.1955,239.1,11,12.5
M,0.64,128,0.485,48.5,0.15,30,1.098,219.6,10,11.5
M,0.64,128,0.495,49.5,0.17,34,1.139,227.8,10,11.5
F,0.64,128,0.495,49.5,0.17,34,1.2265,245.3,11,12.5
M,0.64,128,0.515,51.5,0.08,16,1.042,208.4,10,11.5
M,0.65,130,0.52,52,0.155,31,1.368,273.6,9,10.5
M,0.65,130,0.51,51,0.175,35,1.446,289.2,12,13.5
F,0.66,132,0.505,50.5,0.19,38,1.4045,280.9,9,10.5
F,0.66,132,0.525,52.5,0.2,40,1.463,292.6,11,12.5
F,0.675,135,0.525,52.5,0.17,34,1.711,342.2,9,10.5
M,0.7,140,0.54,54,0.205,41,1.74,348,13,14.5
F,0.705,141,0.54,54,0.205,41,1.757,351.4,9,10.5
M,0.71,142,0.565,56.5,0.2,40,1.601,320.2,11,12.5
M,0.72,144,0.55,55,0.205,41,2.165,433,10,11.5
M,0.725,145,0.57,57,0.19,38,2.3305,466.1,9,10.5
I,0.24,48,0.17,17,0.05,10,0.0545,10.9,5,6.5
I,0.255,51,0.195,19.5,0.055,11,0.0725,14.5,4,5.5
I,0.275,55,0.2,20,0.055,11,0.0925,18.5,4,5.5
I,0.32,64,0.235,23.5,0.09,18,0.183,36.6,7,8.5
I,0.325,65,0.24,24,0.075,15,0.1525,30.5,6,7.5
I,0.33,66,0.225,22.5,0.075,15,0.187,37.4,7,8.5
I,0.36,72,0.27,27,0.09,18,0.232,46.4,8,9.5
I,0.375,75,0.265,26.5,0.095,19,0.196,39.2,5,6.5
I,0.375,75,0.285,28.5,0.09,18,0.2545,50.9,6,7.5
I,0.39,78,0.29,29,0.09,18,0.2625,52.5,7,8.5
I,0.45,90,0.335,33.5,0.105,21,0.362,72.4,7,8.5
I,0.455,91,0.35,35,0.105,21,0.4445,88.9,7,8.5
I,0.46,92,0.365,36.5,0.115,23,0.511,102.2,7,8.5
I,0.495,99,0.375,37.5,0.12,24,0.589,117.8,8,9.5
M,0.5,100,0.365,36.5,0.13,26,0.5945,118.9,9,10.5
I,0.5,100,0.375,37.5,0.12,24,0.529,105.8,8,9.5
M,0.52,104,0.4,40,0.105,21,0.872,174.4,9,10.5
I,0.52,104,0.395,39.5,0.145,29,0.77,154,7,8.5
F,0.525,105,0.43,43,0.135,27,0.8435,168.7,9,10.5
M,0.535,107,0.405,40.5,0.14,28,0.818,163.6,7,8.5
F,0.54,108,0.42,42,0.14,28,0.8035,160.7,9,10.5
F,0.54,108,0.415,41.5,0.15,30,0.8115,162.3,9,10.5
F,0.57,114,0.425,42.5,0.13,26,0.782,156.4,8,9.5
M,0.57,114,0.42,42,0.14,28,0.8745,174.9,8,9.5
M,0.58,116,0.445,44.5,0.16,32,0.984,196.8,9,10.5
F,0.58,116,0.445,44.5,0.135,27,0.95,190,8,9.5
M,0.59,118,0.47,47,0.155,31,1.1735,234.7,9,10.5
F,0.59,118,0.455,45.5,0.15,30,0.976,195.2,10,11.5
M,0.59,118,0.485,48.5,0.155,31,1.0785,215.7,9,10.5
M,0.595,119,0.435,43.5,0.16,32,1.057,211.4,9,10.5
M,0.6,120,0.475,47.5,0.175,35,1.11,222,9,10.5
M,0.6,120,0.45,45,0.16,32,1.142,228.4,10,11.5
M,0.605,121,0.475,47.5,0.19,38,1.1255,225.1,10,11.5
F,0.62,124,0.48,48,0.17,34,1.1045,220.9,10,11.5
M,0.625,125,0.475,47.5,0.175,35,1.3405,268.1,10,11.5
M,0.625,125,0.5,50,0.13,26,1.082,216.4,8,9.5
F,0.625,125,0.485,48.5,0.16,32,1.254,250.8,9,10.5
M,0.63,126,0.49,49,0.165,33,1.2005,240.1,10,11.5
M,0.63,126,0.485,48.5,0.16,32,1.243,248.6,10,11.5
F,0.635,127,0.51,51,0.185,37,1.286,257.2,12,13.5
F,0.645,129,0.49,49,0.16,32,1.1665,233.3,9,10.5
F,0.645,129,0.49,49,0.16,32,1.144,228.8,8,9.5
F,0.65,130,0.525,52.5,0.19,38,1.385,277,11,12.5
F,0.655,131,0.515,51.5,0.155,31,1.309,261.8,11,12.5
F,0.655,131,0.515,51.5,0.17,34,1.527,305.4,11,12.5
M,0.665,133,0.515,51.5,0.19,38,1.6385,327.7,11,12.5
M,0.695,139,0.54,54,0.195,39,1.691,338.2,11,12.5
F,0.72,144,0.565,56.5,0.18,36,1.719,343.8,11,12.5
F,0.72,144,0.55,55,0.18,36,1.52,304,10,11.5
F,0.72,144,0.565,56.5,0.17,34,1.613,322.6,12,13.5
M,0.735,147,0.57,57,0.21,42,2.2355,447.1,10,11.5
M,0.74,148,0.595,59.5,0.19,38,2.3235,464.7,11,12.5
I,0.31,62,0.23,23,0.07,14,0.1245,24.9,6,7.5
I,0.315,63,0.235,23.5,0.075,15,0.1285,25.7,4,5.5
I,0.32,64,0.205,20.5,0.08,16,0.181,36.2,5,6.5
I,0.325,65,0.25,25,0.075,15,0.1585,31.7,6,7.5
I,0.335,67,0.26,26,0.09,18,0.1965,39.3,7,8.5
I,0.37,74,0.28,28,0.085,17,0.198,39.6,5,6.5
I,0.37,74,0.27,27,0.09,18,0.1855,37.1,7,8.5
I,0.375,75,0.28,28,0.085,17,0.2145,42.9,7,8.5
I,0.4,80,0.315,31.5,0.09,18,0.3245,64.9,8,9.5
I,0.41,82,0.305,30.5,0.095,19,0.2625,52.5,6,7.5
I,0.425,85,0.34,34,0.1,20,0.371,74.2,8,9.5
I,0.435,87,0.335,33.5,0.095,19,0.298,59.6,7,8.5
I,0.445,89,0.31,31,0.09,18,0.336,67.2,7,8.5
I,0.46,92,0.36,36,0.14,28,0.447,89.4,9,10.5
F,0.465,93,0.35,35,0.11,22,0.4085,81.7,8,9.5
I,0.47,94,0.385,38.5,0.13,26,0.587,117.4,8,9.5
I,0.475,95,0.375,37.5,0.11,22,0.494,98.8,8,9.5
I,0.495,99,0.375,37.5,0.12,24,0.614,122.8,8,9.5
I,0.5,100,0.39,39,0.13,26,0.5075,101.5,9,10.5
I,0.5,100,0.37,37,0.12,24,0.5445,108.9,8,9.5
I,0.505,101,0.425,42.5,0.125,25,0.6115,122.3,9,10.5
I,0.505,101,0.4,40,0.125,25,0.5605,112.1,8,9.5
M,0.505,101,0.365,36.5,0.115,23,0.521,104.2,8,9.5
I,0.51,102,0.4,40,0.145,29,0.5775,115.5,9,10.5
I,0.51,102,0.4,40,0.125,25,0.5935,118.7,8,9.5
I,0.52,104,0.4,40,0.11,22,0.597,119.4,8,9.5
M,0.52,104,0.465,46.5,0.15,30,0.9505,190.1,8,9.5
I,0.53,106,0.38,38,0.125,25,0.616,123.2,8,9.5
M,0.53,106,0.405,40.5,0.15,30,0.8315,166.3,10,11.5
F,0.535,107,0.445,44.5,0.125,25,0.8725,174.5,8,9.5
I,0.54,108,0.425,42.5,0.13,26,0.8155,163.1,11,12.5
I,0.54,108,0.415,41.5,0.11,22,0.619,123.8,10,11.5
I,0.545,109,0.43,43,0.13,26,0.7595,151.9,8,9.5
I,0.545,109,0.43,43,0.15,30,0.742,148.4,10,11.5
I,0.55,110,0.435,43.5,0.165,33,0.804,160.8,8,9.5
I,0.55,110,0.425,42.5,0.13,26,0.664,132.8,8,9.5
F,0.55,110,0.435,43.5,0.14,28,0.745,149,9,10.5
I,0.56,112,0.43,43,0.13,26,0.728,145.6,8,9.5
I,0.56,112,0.435,43.5,0.13,26,0.777,155.4,9,10.5
F,0.575,115,0.425,42.5,0.15,30,0.8765,175.3,8,9.5
I,0.575,115,0.455,45.5,0.16,32,0.9895,197.9,9,10.5
M,0.575,115,0.45,45,0.165,33,0.9655,193.1,8,9.5
M,0.58,116,0.465,46.5,0.15,30,0.9065,181.3,8,9.5
M,0.58,116,0.46,46,0.15,30,1.049,209.8,10,11.5
F,0.58,116,0.45,45,0.17,34,0.9705,194.1,9,10.5
F,0.58,116,0.45,45,0.15,30,0.92,184,9,10.5
M,0.58,116,0.445,44.5,0.15,30,0.9525,190.5,11,12.5
F,0.58,116,0.44,44,0.125,25,0.7855,157.1,11,12.5
I,0.585,117,0.45,45,0.135,27,0.855,171,9,10.5
M,0.59,118,0.5,50,0.15,30,1.142,228.4,9,10.5
I,0.59,118,0.46,46,0.125,25,0.755,151,9,10.5
I,0.59,118,0.475,47.5,0.145,29,0.9745,194.9,10,11.5
M,0.595,119,0.47,47,0.155,31,1.2015,240.3,10,11.5
M,0.595,119,0.46,46,0.17,34,1.1295,225.9,10,11.5
I,0.6,120,0.445,44.5,0.135,27,0.9205,184.1,9,10.5
F,0.6,120,0.48,48,0.17,34,1.056,211.2,10,11.5
M,0.6,120,0.45,45,0.195,39,1.34,268,10,11.5
F,0.6,120,0.45,45,0.15,30,0.9625,192.5,9,10.5
M,0.6,120,0.465,46.5,0.165,33,1.0475,209.5,11,12.5
F,0.605,121,0.495,49.5,0.17,34,1.0915,218.3,13,14.5
M,0.605,121,0.49,49,0.18,36,1.167,233.4,9,10.5
I,0.605,121,0.48,48,0.155,31,0.9995,199.9,10,11.5
I,0.61,122,0.425,42.5,0.155,31,1.0485,209.7,11,12.5
F,0.61,122,0.47,47,0.195,39,1.2735,254.7,12,13.5
M,0.61,122,0.48,48,0.14,28,1.0625,212.5,11,12.5
I,0.61,122,0.49,49,0.16,32,1.1545,230.9,11,12.5
F,0.615,123,0.475,47.5,0.175,35,1.194,238.8,11,12.5
F,0.615,123,0.515,51.5,0.135,27,1.1215,224.3,9,10.5
M,0.615,123,0.455,45.5,0.15,30,0.9335,186.7,10,11.5
F,0.615,123,0.495,49.5,0.165,33,1.198,239.6,10,11.5
F,0.62,124,0.475,47.5,0.15,30,0.9545,190.9,9,10.5
M,0.62,124,0.475,47.5,0.195,39,1.3585,271.7,10,11.5
M,0.625,125,0.495,49.5,0.175,35,1.2075,241.5,11,12.5
M,0.625,125,0.515,51.5,0.165,33,1.217,243.4,10,11.5
F,0.625,125,0.5,50,0.16,32,1.217,243.4,11,12.5
F,0.625,125,0.49,49,0.145,29,0.92,184,10,11.5
M,0.625,125,0.49,49,0.12,24,0.8765,175.3,10,11.5
F,0.63,126,0.48,48,0.165,33,1.2615,252.3,10,11.5
M,0.63,126,0.53,53,0.18,36,1.2795,255.9,9,10.5
F,0.63,126,0.485,48.5,0.185,37,1.167,233.4,10,11.5
M,0.63,126,0.51,51,0.17,34,1.1885,237.7,7,8.5
F,0.635,127,0.485,48.5,0.19,38,1.3765,275.3,11,12.5
M,0.635,127,0.52,52,0.175,35,1.292,258.4,11,12.5
M,0.635,127,0.485,48.5,0.18,36,1.1795,235.9,10,11.5
F,0.635,127,0.5,50,0.19,38,1.29,258,8,9.5
M,0.635,127,0.515,51.5,0.16,32,1.2075,241.5,11,12.5
M,0.64,128,0.505,50.5,0.18,36,1.297,259.4,11,12.5
M,0.64,128,0.575,57.5,0.175,35,1.4585,291.7,11,12.5
F,0.645,129,0.485,48.5,0.15,30,1.151,230.2,12,13.5
F,0.645,129,0.52,52,0.17,34,1.197,239.4,11,12.5
M,0.645,129,0.495,49.5,0.19,38,1.539,307.8,12,13.5
M,0.65,130,0.52,52,0.195,39,1.676,335.2,15,16.5
F,0.65,130,0.565,56.5,0.2,40,1.6645,332.9,12,13.5
F,0.655,131,0.5,50,0.205,41,1.528,305.6,11,12.5
F,0.655,131,0.515,51.5,0.2,40,1.494,298.8,12,13.5
